"NUTS 3 CODE","LAU CODE","LAU NAME NATIONAL","LAU NAME LATIN","POPULATION","TOTAL AREA (km2)","COASTAL AREA (yes/no)","CITY_ID","CITY_NAME","FUA_ID"
"DEF06","01053002","Alt Mölln","Alt Mölln",885,6.44,"no",,,"DE002L1"
"DEF06","01053003","Aumühle","Aumühle",3275,3.48,"no",,,"DE002L1"
"DEF06","01053004","Bäk","Bäk",880,4.30,"no",,,"DE002L1"
"DEF06","01053005","Bälau","Bälau",231,6.50,"no",,,"DE002L1"
"DEF06","01053006","Basedow","Basedow",647,7.47,"no",,,"DE002L1"
"DEF06","01053007","Basthorst","Basthorst",414,10.82,"no",,,"DE002L1"
"DEF06","01053008","Behlendorf","Behlendorf",388,10.25,"no",,,"DE002L1"
"DEF06","01053009","Berkenthin","Berkenthin",2094,10.25,"no",,,"DE002L1"
"DEF06","01053010","Besenthal","Besenthal",89,12.65,"no",,,"DE002L1"
"DEF06","01053011","Bliestorf","Bliestorf",651,10.35,"no",,,"DE002L1"
"DEF06","01053012","Börnsen","Börnsen",4764,8.41,"no",,,"DE002L1"
"DEF06","01053013","Borstorf","Borstorf",305,8.64,"no",,,"DE002L1"
"DEF06","01053014","Breitenfelde","Breitenfelde",1939,12.54,"no",,,"DE002L1"
"DEF06","01053015","Bröthen","Bröthen",318,10.69,"no",,,"DE002L1"
"DEF06","01053016","Brunsmark","Brunsmark",157,4.29,"no",,,"DE002L1"
"DEF06","01053017","Brunstorf","Brunstorf",735,13.76,"no",,,"DE002L1"
"DEF06","01053018","Buchholz","Buchholz",241,2.93,"no",,,"DE002L1"
"DEF06","01053019","Buchhorst","Buchhorst",150,5.19,"no",,,"DE002L1"
"DEF06","01053020","Büchen","Büchen",5855,16.85,"no",,,"DE002L1"
"DEF06","01053021","Dahmker","Dahmker",144,2.04,"no",,,"DE002L1"
"DEF06","01053022","Dalldorf","Dalldorf",352,6.05,"no",,,"DE002L1"
"DEF06","01053023","Dassendorf","Dassendorf",3334,7.94,"no",,,"DE002L1"
"DEF06","01053024","Düchelsdorf","Düchelsdorf",163,3.01,"no",,,"DE002L1"
"DEF06","01053025","Duvensee","Duvensee",576,12.39,"no",,,"DE002L1"
"DEF06","01053026","Einhaus","Einhaus",412,2.53,"no",,,"DE002L1"
"DEF06","01053027","Elmenhorst","Elmenhorst",897,12.99,"no",,,"DE002L1"
"DEF06","01053028","Escheburg","Escheburg",3421,8.91,"no",,,"DE002L1"
"DEF06","01053029","Fitzen","Fitzen",360,9.11,"no",,,"DE002L1"
"DEF06","01053030","Fredeburg","Fredeburg",39,10.09,"no",,,"DE002L1"
"DEF06","01053031","Fuhlenhagen","Fuhlenhagen",383,5.74,"no",,,"DE002L1"
"DEF06","01053032","Geesthacht, Stadt","Geesthacht, Stadt",30551,33.25,"no",,,"DE002L1"
"DEF06","01053033","Giesensdorf","Giesensdorf",149,2.73,"no",,,"DE002L1"
"DEF06","01053034","Göldenitz","Göldenitz",236,5.15,"no",,,"DE002L1"
"DEF06","01053035","Göttin","Göttin",70,5.21,"no",,,"DE002L1"
"DEF06","01053036","Grabau","Grabau",349,4.10,"no",,,"DE002L1"
"DEF06","01053037","Grambek","Grambek",490,12.66,"no",,,"DE002L1"
"DEF06","01053038","Grinau","Grinau",304,2.74,"no",,,"DE002L1"
"DEF06","01053039","Groß Boden","Groß Boden",204,2.70,"no",,,"DE002L1"
"DEF06","01053040","Groß Disnack","Groß Disnack",86,5.99,"no",,,"DE002L1"
"DEF06","01053041","Groß Grönau","Groß Grönau",3755,4.90,"no",,,"DE002L1"
"DEF06","01053042","Groß Pampau","Groß Pampau",146,4.31,"no",,,"DE002L1"
"DEF06","01053043","Groß Sarau","Groß Sarau",993,17.08,"no",,,"DE002L1"
"DEF06","01053044","Groß Schenkenberg","Groß Schenkenberg",575,6.52,"no",,,"DE002L1"
"DEF06","01053045","Grove","Grove",248,5.28,"no",,,"DE002L1"
"DEF06","01053046","Gudow","Gudow",1649,42.25,"no",,,"DE002L1"
"DEF06","01053047","Gülzow","Gülzow",1321,17.07,"no",,,"DE002L1"
"DEF06","01053048","Güster","Güster",1270,7.78,"no",,,"DE002L1"
"DEF06","01053049","Hamfelde","Hamfelde",508,3.47,"no",,,"DE002L1"
"DEF06","01053050","Hamwarde","Hamwarde",870,6.67,"no",,,"DE002L1"
"DEF06","01053051","Harmsdorf","Harmsdorf",317,3.57,"no",,,"DE002L1"
"DEF06","01053052","Havekost","Havekost",185,5.91,"no",,,"DE002L1"
"DEF06","01053053","Hohenhorn","Hohenhorn",560,6.93,"no",,,"DE002L1"
"DEF06","01053054","Hollenbek","Hollenbek",426,7.21,"no",,,"DE002L1"
"DEF06","01053056","Hornbek","Hornbek",190,5.89,"no",,,"DE002L1"
"DEF06","01053057","Horst","Horst",204,12.05,"no",,,"DE002L1"
"DEF06","01053058","Juliusburg","Juliusburg",166,6.03,"no",,,"DE002L1"
"DEF06","01053059","Kankelau","Kankelau",218,4.21,"no",,,"DE002L1"
"DEF06","01053060","Kasseburg","Kasseburg",575,7.89,"no",,,"DE002L1"
"DEF06","01053061","Kastorf","Kastorf",1120,6.90,"no",,,"DE002L1"
"DEF06","01053062","Kittlitz","Kittlitz",254,17.73,"no",,,"DE002L1"
"DEF06","01053064","Klein Pampau","Klein Pampau",639,4.17,"no",,,"DE002L1"
"DEF06","01053066","Klein Zecher","Klein Zecher",238,9.11,"no",,,"DE002L1"
"DEF06","01053067","Klempau","Klempau",611,10.07,"no",,,"DE002L1"
"DEF06","01053068","Klinkrade","Klinkrade",591,7.40,"no",,,"DE002L1"
"DEF06","01053069","Koberg","Koberg",771,11.98,"no",,,"DE002L1"
"DEF06","01053070","Köthel","Köthel",268,1.52,"no",,,"DE002L1"
"DEF06","01053071","Kollow","Kollow",605,8.21,"no",,,"DE002L1"
"DEF06","01053072","Kröppelshagen-Fahrendorf","Kröppelshagen-Fahrendorf",1287,8.37,"no",,,"DE002L1"
"DEF06","01053073","Krüzen","Krüzen",368,8.24,"no",,,"DE002L1"
"DEF06","01053074","Krukow","Krukow",148,7.94,"no",,,"DE002L1"
"DEF06","01053075","Krummesse","Krummesse",1756,3.35,"no",,,"DE002L1"
"DEF06","01053076","Kuddewörde","Kuddewörde",1343,7.35,"no",,,"DE002L1"
"DEF06","01053077","Kühsen","Kühsen",357,7.28,"no",,,"DE002L1"
"DEF06","01053078","Kulpin","Kulpin",204,6.07,"no",,,"DE002L1"
"DEF06","01053079","Labenz","Labenz",842,5.75,"no",,,"DE002L1"
"DEF06","01053080","Langenlehsten","Langenlehsten",158,23.37,"no",,,"DE002L1"
"DEF06","01053081","Lankau","Lankau",479,19.12,"no",,,"DE002L1"
"DEF06","01053082","Lanze","Lanze",289,9.04,"no",,,"DE002L1"
"DEF06","01053083","Lauenburg/ Elbe, Stadt","Lauenburg/ Elbe, Stadt",11444,9.56,"no",,,"DE002L1"
"DEF06","01053084","Lehmrade","Lehmrade",549,11.40,"no",,,"DE002L1"
"DEF06","01053085","Linau","Linau",1252,9.66,"no",,,"DE002L1"
"DEF06","01053086","Lüchow","Lüchow",286,4.61,"no",,,"DE002L1"
"DEF06","01053087","Lütau","Lütau",704,11.24,"no",,,"DE002L1"
"DEF06","01053088","Mechow","Mechow",129,4.43,"no",,,"DE002L1"
"DEF06","01053089","Möhnsen","Möhnsen",548,7.47,"no",,,"DE002L1"
"DEF06","01053090","Mölln, Stadt","Mölln, Stadt",19031,25.05,"no",,,"DE002L1"
"DEF06","01053091","Mühlenrade","Mühlenrade",178,3.74,"no",,,"DE002L1"
"DEF06","01053092","Müssen","Müssen",1141,11.46,"no",,,"DE002L1"
"DEF06","01053093","Mustin","Mustin",728,11.88,"no",,,"DE002L1"
"DEF06","01053094","Niendorf bei Berkenthin","Niendorf bei Berkenthin",192,3.99,"no",,,"DE002L1"
"DEF06","01053095","Niendorf/ Stecknitz","Niendorf/ Stecknitz",660,8.41,"no",,,"DE002L1"
"DEF06","01053096","Nusse","Nusse",1108,6.22,"no",,,"DE002L1"
"DEF06","01053097","Panten","Panten",662,13.83,"no",,,"DE002L1"
"DEF06","01053098","Pogeez","Pogeez",494,4.51,"no",,,"DE002L1"
"DEF06","01053099","Poggensee","Poggensee",362,5.44,"no",,,"DE002L1"
"DEF06","01053100","Ratzeburg, Stadt","Ratzeburg, Stadt",14652,30.29,"no",,,"DE002L1"
"DEF06","01053101","Ritzerau","Ritzerau",305,11.11,"no",,,"DE002L1"
"DEF06","01053102","Römnitz","Römnitz",58,5.15,"no",,,"DE002L1"
"DEF06","01053103","Rondeshagen","Rondeshagen",816,9.51,"no",,,"DE002L1"
"DEF06","01053104","Roseburg","Roseburg",531,16.24,"no",,,"DE002L1"
"DEF06","01053105","Sachsenwald (Forstgutsbez.),gemfr.Geb.","Sachsenwald (Forstgutsbez.),gemfr.Geb.",0,58.49,"no",,,"DE002L1"
"DEF06","01053106","Sahms","Sahms",376,5.95,"no",,,"DE002L1"
"DEF06","01053107","Salem","Salem",603,25.10,"no",,,"DE002L1"
"DEF06","01053108","Sandesneben","Sandesneben",1829,6.13,"no",,,"DE002L1"
"DEF06","01053109","Schiphorst","Schiphorst",633,8.15,"no",,,"DE002L1"
"DEF06","01053110","Schmilau","Schmilau",555,11.55,"no",,,"DE002L1"
"DEF06","01053111","Schnakenbek","Schnakenbek",863,13.02,"no",,,"DE002L1"
"DEF06","01053112","Schönberg","Schönberg",1361,14.77,"no",,,"DE002L1"
"DEF06","01053113","Schretstaken","Schretstaken",507,8.47,"no",,,"DE002L1"
"DEF06","01053114","Schürensöhlen","Schürensöhlen",158,2.75,"no",,,"DE002L1"
"DEF06","01053115","Schulendorf","Schulendorf",469,11.38,"no",,,"DE002L1"
"DEF06","01053116","Schwarzenbek, Stadt","Schwarzenbek, Stadt",16447,11.55,"no",,,"DE002L1"
"DEF06","01053117","Seedorf","Seedorf",503,27.88,"no",,,"DE002L1"
"DEF06","01053118","Siebenbäumen","Siebenbäumen",614,8.82,"no",,,"DE002L1"
"DEF06","01053119","Siebeneichen","Siebeneichen",259,4.68,"no",,,"DE002L1"
"DEF06","01053120","Sierksrade","Sierksrade",421,4.00,"no",,,"DE002L1"
"DEF06","01053121","Sirksfelde","Sirksfelde",333,8.62,"no",,,"DE002L1"
"DEF06","01053122","Steinhorst","Steinhorst",578,16.29,"no",,,"DE002L1"
"DEF06","01053123","Sterley","Sterley",937,21.39,"no",,,"DE002L1"
"DEF06","01053124","Stubben","Stubben",387,5.33,"no",,,"DE002L1"
"DEF06","01053125","Talkau","Talkau",521,4.88,"no",,,"DE002L1"
"DEF06","01053126","Tramm","Tramm",360,6.74,"no",,,"DE002L1"
"DEF06","01053127","Walksfelde","Walksfelde",240,3.51,"no",,,"DE002L1"
"DEF06","01053128","Wangelau","Wangelau",223,6.52,"no",,,"DE002L1"
"DEF06","01053129","Wentorf bei Hamburg","Wentorf bei Hamburg",13349,6.87,"no",,,"DE002L1"
"DEF06","01053130","Wentorf (Amt Sandesneben)","Wentorf (Amt Sandesneben)",722,4.99,"no",,,"DE002L1"
"DEF06","01053131","Wiershop","Wiershop",199,5.15,"no",,,"DE002L1"
"DEF06","01053132","Witzeeze","Witzeeze",867,10.46,"no",,,"DE002L1"
"DEF06","01053133","Wohltorf","Wohltorf",2414,5.97,"no",,,"DE002L1"
"DEF06","01053134","Woltersdorf","Woltersdorf",290,7.90,"no",,,"DE002L1"
"DEF06","01053135","Worth","Worth",185,6.07,"no",,,"DE002L1"
"DEF06","01053136","Ziethen","Ziethen",1116,11.18,"no",,,"DE002L1"
"DEF07","01054001","Achtrup","Achtrup",1488,29.90,"no",,,
"DEF07","01054002","Ahrenshöft","Ahrenshöft",516,8.79,"yes",,,
"DEF07","01054003","Ahrenviöl","Ahrenviöl",521,10.11,"no",,,
"DEF07","01054004","Ahrenviölfeld","Ahrenviölfeld",220,7.29,"no",,,
"DEF07","01054005","Alkersum","Alkersum",410,9.07,"yes",,,
"DEF07","01054006","Almdorf","Almdorf",561,5.70,"yes",,,
"DEF07","01054007","Arlewatt","Arlewatt",342,5.57,"yes",,,
"DEF07","01054009","Aventoft","Aventoft",448,14.47,"no",,,
"DEF07","01054010","Bargum","Bargum",627,17.29,"no",,,
"DEF07","01054011","Behrendorf","Behrendorf",560,15.29,"no",,,
"DEF07","01054012","Bohmstedt","Bohmstedt",774,13.35,"yes",,,
